name;resources;shortDescription;applicationArea;provider;usage;lifeCyclePhase;targetGroup;userInterface;userInterfaceNotes;programmingLanguages;frameworksLibraries;databaseSystem;classification;focus;scale;lastUpdate;accessibility;licence;licenseNotes;furtherInformation;alternatives;specificApplication;released;releasedPlanned;yearOfRelease;developmentState;technicalStandardsNorms;technicalStandardsProtocols;image
KNIME;https://www.knime.com, https://github.com/knime/knime-core;KNIME, der „Konstanz Information Miner“, ist eine freie Software für die interaktive Datenanalyse. KNIME ermöglicht durch das modulare Pipelining-Konzept die Integration zahlreicher Verfahren des maschinellen Lernens und des Data-Mining.;Verwaltung, Forschung/Lehre, Industrie, Dienstleistung;KNIME;Monitoring, Optimierung, Planung, Steuerung, Regelung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen, Endnutzer:innen;grafische Benutzeroberfläche ;;Java, JavaScript, Python, HTML;scikit-learn, TensorFlow, Weka;MySQL, PostgreSQL, Oracle, Hadoop, Spark;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source, kostenpflichtig;sonstige;kostenlose Version verfügbar, kostenpflichtige Versionen für professionelle Anwendungen. Für den Open-Source-Teil: Jedes Modul wird unter seiner eigenen Lizenz veröffentlicht. ;;;['03EN6003'];1;;2006;5;;;knime_logo.png
LS-DYNA;https://www.dynamore.eu/de/produkte/dyna/einfuehrung;LS-DYNA ist ein Simulationsprogramm, das mit Hilfe der Finite-Elemente-Methode arbeitet und  auf Basis des Vorgängerprogramms DYNA3D entwickelt wurde. Insbesondere nicht-lineare und hochdynamische Problemstellungen können mit diesem Programm bearbeitet werden.;Industrie;;Simulation, Optimierung, Planung;Planung;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2021-11-01;kostenpflichtig;;;;;['03EN3022'];;;;;;;ls_dyna_logo.jpeg
MATLAB;https://www.mathworks.com/products/matlab.html;Matlab ist eine kommerzielle Software zur Lösung mathematischer Probleme und zur grafischen Darstellung der Ergebnisse.;Forschung/Lehre, Industrie, Dienstleistung;;Simulation, Monitoring, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Sonstiges;;;;;digitale Anwendung;technisch;;2021-09-01;kostenpflichtig;;;;;['03ET1605', '03ET1641', '03EN3018A', '03EN6004','03ET1299'];;;;;;;Matlab_Logo.png
BIM2SIM;https://github.com/BIM2SIM/bim2sim, https://www.accu-rate.de/de/bim/;Methodenentwicklung zur Erstellung von Simulationsmodellen aus Daten des Building Information Modeling;Forschung/Lehre, Dienstleistung;Institute for Energy Efficient Buildings and Indoor Climate (RWTH Aachen University), Institute of Energy Efficiency and Sustainable Building (RWTH Aachen University), ROM Technik GmbH;Simulation, Optimierung, Planung, Steuerung, Regelung;Planung, Betrieb;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;Python;networkx, OpenFOAM;;digitale Anwendung;technisch;Anlage, Gebäude;laufend;open-source;GNU LGPL-3.0;;;;['03ET1562','03EN1050A', '03EN1050B', '03EN1050C'];1;;2022;5;;;bim2sim.png
Excel;https://www.microsoft.com/de-de/microsoft-365/excel;Microsoft Excel ist das am weitesten verbreitete Tabellenkalkulationsprogramm.;Verwaltung, Forschung/Lehre, Industrie, Dienstleistung;Microsoft Corporation;Monitoring, Optimierung, Planung;Planung, Betrieb;Baufachleute, Ingenieur:innen, Endnutzer:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;kostenpflichtig;;;;;['03EN1005A', '03SBE0004', '03ET1156', '03ET1605', '0325862', '03ET1552A', '03EN6004'];1;;1985;5;;;Excel_logo.png
Visio;https://www.microsoft.com/de-de/microsoft-365/visio/flowchart-software;Microsoft Visio ist ein Visualisierungsprogramm von Microsoft für Windows. ;Verwaltung, Dienstleistung;;Monitoring, Optimierung, Planung;Planung, Betrieb;Baufachleute, Ingenieur:innen, Endnutzer:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2021-06-01;kostenpflichtig;;;;;['03ET1446', '03ET1647', '03EN6004'];;;;;;;Visio_logo.png
Dynamic ISO Building Simulator;https://github.com/IWUGERMANY/DIBS---Dynamic-ISO-Building-Simulator#readme;Mit dem Simulationsprogramm DIBS (Dynamic ISO Building Simulator) lässt sich der Endenergiebedarf für Heizung und Kühlung von Nichtwohngebäuden (NWG) in Deutschland mit geringem Aufwand berechnen.;Forschung/Lehre, Dienstleistung;Institut Wohnen und Umwelt GmbH;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;Kommandozeile;;Python;;;digitale Anwendung;technisch;Anlage, Gebäude;laufend;open-source;MIT;;;;['03ET1315'];1;;2021;5;DIN EN ISO 13790:2008-09;;DIBS_Logo.png
Ansys Fluids Computational Fluid Dynamics (CFD) Simulation;https://www.ansys.com/de-de/products/fluids;Mit der ANSYS Fluids Produktfamilie für Strömungsmechanik steht Ingenieuren ein breites Portfolio technisch führender Technologien für das gesamte Anwendungsspektrum der Fluidsimulation zur Verfügung, mit denen sie den Einfluss von Fluidströmungen auch bei komplexen Wechselwirkungen zwischen verschiedenen physikalischen Einflussfaktoren sowie beweglichen Geometrien zuverlässig ermitteln können.;Forschung/Lehre, Industrie, Dienstleistung;;Simulation, Optimierung, Planung;Planung;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;laufend;kostenpflichtig;;;;Openfoam;['03ET1636'];;;;;;;ansys-fluids_logo.png
Modelica;https://modelica.org/;Modelica ist eine objektorientierte Modellierungssprache für physikalische Modelle.;Forschung/Lehre, Dienstleistung;Modelica Association;Simulation, Monitoring, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Sonstiges;;Modelica;;;Sprache;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;CC-BY-SA;;;;['03ET1634D', '03ET1632', '03ET1603'];1;;1997;5;;;Modelica_Logo.png
MoniSoft;https://projekte.th-rosenheim.de/de/forschungsprojekt/503-monisoft;MoniSoft ist eine plattformunabhängige Software, die das Monitoring und die Betriebsanalyse von Gebäuden vereinfacht.;Forschung/Lehre, Dienstleistung;Fachgebiet Bauphysik und Technischer Ausbau (fbta) am Karlsruher Institut für Technologie (KIT), Hochschule Rosenheim;Monitoring, Optimierung, Steuerung;Betrieb;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche, Kommandozeile;;Java;;;digitale Anwendung;technisch;Gebäude;2021-11-22;open-source, kostenpflichtig;;;;MoniVisu (in Entwicklung);['0325862'];1;;vor 2014;5;;;monisoft_logo.gif
NANDRAD;http://bauklimatik-dresden.de/nandrad/;NANDRAD ist eine moderne Gebäudesimulationsplattform für die dynamische Bewertung der Energieeffizienz eines Gebäudes.;Forschung/Lehre, Dienstleistung;Institut für Bauklimatik, TU Dresden, Bauklimatik Dresden Software GmbH;Simulation, Optimierung, Planung, Steuerung, Regelung;Planung, Betrieb;Baufachleute, Ingenieur:innen;Kommandozeile, Sonstiges;grafische Benutzeroberfläche mit BIM HVACTool;C++;;;digitale Anwendung;technisch;Anlage, Gebäude;laufend;open-source;;NANDRAD als Berechnungskern kann in andere Simulationsprogramme integriert werden. Zu diesem Zweck sollte eine Lizenzierung angefragt werden.;;;['03ET1603'];1;;vor 2012;5;DIN EN ISO 13971;;nandrad_logo.png
OpenGeoSys;https://www.opengeosys.org/;OpenGeoSys (OGS) ist ein wissenschaftliches Open-Source-Projekt zur Entwicklung numerischer Methoden zur Simulation von thermo-hydro-mechanisch-chemischen (THMC) Prozessen in porösen und gebrochenen Medien.;Forschung/Lehre, Industrie, Dienstleistung;Helmholtz-Zentrum für Umweltforschung GmbH (UFZ), the OpenGeoSys community;Simulation, Monitoring, Optimierung, Planung, Steuerung, Regelung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Kommandozeile;;C++, Python, Cmake;PETSc, Eigen, VTK, sonstige;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;die modifizierte BSD-Lizenz;;;;['03EGB0016A','03EGB0016B','03EGB0016C'];1;;2006;5;;;opengeosys_logo.png
OpenModelica;https://www.openmodelica.org/;OpenModelica ist eine kostenlose Open Source-Umgebung, die auf der Modelica-Modellierungssprache zum Modellieren, Simulieren, Optimieren und Analysieren komplexer dynamischer Systeme basiert.;Forschung/Lehre, Industrie, Dienstleistung;Open Source Modelica Consortium (OSMC);Simulation, Monitoring, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;grafische Benutzeroberfläche ;;Modelica, C++;Eclipse, SEMLA, the Modelica Standard Library;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;OSMC-PL 1.8, OSMC-PL 1.2, OSMC-PL 1.1;;;;['03ET1603'];1;;2008;5;;;openmodelica_logo.png
PostgreSQL;https://www.postgresql.org/;PostgreSQL, oft kurz Postgres genannt, ist ein freies, objektrelationales Datenbankmanagementsystem.;Forschung/Lehre, Industrie, Dienstleistung;PostgreSQL Global Development Group;Monitoring, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen, Endnutzer:innen;grafische Benutzeroberfläche, Kommandozeile;;C;.NET;PostgreSQL;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;PostgreSQL License;Die PostgreSQL-License ist eine liberale Open-Source-Lizenz, die der BSD- oder MIT-Lizenz ähnlich ist.;;;['03EN3011'];1;;1989;5;;;Postgresql_logo.png
Python;https://www.python.org/;Python ist eine universelle, üblicherweise interpretierte, höhere Programmiersprache.;Forschung/Lehre, Industrie, Dienstleistung;Python Software Foundation;Simulation, Monitoring, Optimierung, Planung, Steuerung, Regelung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Sonstiges;;Python;;;Sprache;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;Ab Python 3.8.6 wird Python unter der PSF-Lizenzvereinbarung und der Zero-Clause BSD-Lizenz lizenziert.;Einige Software, die in Python integriert ist, unterliegt anderen Lizenzen.;;;['03EN3017', '03ET1595', '03ET1522', '03EN1038', '03ET1612', '03ET1641', '03EN6003'];1;;1991;5;;;grashopper_logo.jpeg
QGIS;https://www.qgis.org/de/site/;QGIS ist eine freie Geoinformationssystemsoftware zum Betrachten, Bearbeiten, Erfassen und Analysieren räumlicher Daten.;Forschung/Lehre, Dienstleistung;QGIS Development Team;Monitoring, Planung;Planung;Baufachleute, Ingenieur:innen, Endnutzer:innen;grafische Benutzeroberfläche ;;C++, Python;Qt, GDAL/OGR, GEOS, PROJ, PyQGIS;PostgreSQL, SQLite, Oracle, DB2, MSSQL, MySQL;digitale Anwendung;technisch;Gebäude, Quartier/Netze, Region/Land;laufend;open-source;GNU GPL 2.0;;;ArcGIS;['03EN3011'];1;;2009;5;;;QGIS_logo.png
R;https://www.r-project.org/;R ist eine freie Softwareumgebung für statistische Berechnungen und Grafiken. ;Forschung/Lehre, Industrie, Dienstleistung;R Foundation/ R Core Team;Simulation, Monitoring, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Sonstiges;;R, C, Fortran;Jamovi, JASP;;Sprache;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;GNU GPL 2.0;;;Python;['03ET1612'];1;;1993;5;;;R_logo.png
R-FEM;https://www.dlubal.com/de/produkte/fem-statik-software-rfem/was-ist-rfem;RFEM ist eine 3D-FEM-Software zur statischen Berechnung und Bemessung von Stahl-, Stahlbeton-, Holz-, Glas- und Membran-Strukturen, für den Anlagen- und Maschinenbau sowie für dynamische Analysen.;Forschung/Lehre, Industrie, Dienstleistung;;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2021-11-01;kostenpflichtig;;;;;['03EN3022'];;;;;;;RFEM_logo.png
Rhino;https://www.rhino3d.com/;Rhinoceros 3D ist eine Software für die computergestützte 3D-Modellierung und das rechnergestützte Konstruieren.;Forschung/Lehre, Industrie, Dienstleistung;;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2021-10-01;kostenpflichtig;;;;;['03EGB0028'];;;;;;;rhino_logo.png
R-Stab;https://www.dlubal.com/de/produkte/stabwerksprogramm-rstab/was-ist-rstab;RSTAB ist ein 3D-Statik-Programm, das sich für die Berechnung von Stabwerken eignet, die in der Regel auch als Tragwerk fungieren.;Forschung/Lehre, Industrie, Dienstleistung;;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2021-11-01;kostenpflichtig;;;;;['03EN3022'];;;;;;;RSTAB_logo.webp
STAR-CCM+;https://www.plm.automation.siemens.com/global/de/products/simcenter/STAR-CCM.html;Simcenter STAR-CCM + ist eine kommerzielle, auf Computational Fluid Dynamics basierende Simulationssoftware;Forschung/Lehre, Industrie, Dienstleistung;Siemens PLM Software;Simulation, Optimierung, Planung;Vorplanung, Planung;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Komponente;2023-06-01;kostenpflichtig;Proprietär;;Für die Berechnung von Strömungsproblemen wird die finite Elemente- bzw. Finite Volumen methoden verwendet. Weiterhin können probleme aus dem Bereich Viskoelastizität, Turbulenz, Rheologie, Nicht- newtonische Fluide und multi-phasen Strömungen berechnet werden.;OpenFoam ;['03EN1038'];1;;2004;5;;;starccm_logo.png
SimulationX;https://www.esi-group.com/products/system-simulation;SimulationX ist eine CAE-Software (Computer Aided Engineering) für die Simulation physikalisch-technischer Systeme und Anlagen;Forschung/Lehre, Industrie, Dienstleistung;ESI Group;Simulation, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Anlage;2023-07-28;kostenpflichtig;Proprietär;;Simulationsmodelle werden auf der Basis eines diskreten Netzwerkansatzes erstellt. Das System wird in logisch zusammenhängende Teile unterteilt, welche miteinander verbunden werden.;;['03EGB0016A','03EGB0016B','03EGB0016C', '03ET1603'];1;;2002;5;;;simulationx-by-esi-vector-logo.png
